TOTAL_EVENTS:63
TITLE_ONLY:14
DESC_OR_TAG_ONLY:49
---
1|Выездной лагерь для взрослых «Ёлки-палки, Новый год!» 3-6 января|Красноярск|Загородный лагерь "Огонёк"|3 янв. 2027 г., 08:00|от 16000 ₽|описание/тег
2|ДМИТРИЙ МОСЬПАН И «МОСДЖАЗ КВАРТЕТ»: «ДЖАЗ-ФАНКОВЫЕ ИСТОРИИ»|Москва|Клуб Алексея Козлова|23 июл. 2026 г., 20:00|от 1000 ₽|описание/тег
3|ДМИТРИЙ МОСЬПАН И «МОСДЖАЗ КВАРТЕТ»: «ДЖАЗОВЫЕ ИСТОРИИ»|Москва|Клуб Алексея Козлова|18 авг. 2026 г., 20:00|от 1000 ₽|описание/тег
4|Квест-Школа Волшебников в Хогвартсе|Новосибирск|Музей Гарри Поттера - Хогвартс Холл|19 июл. 2026 г., 07:00|от 990 ₽|описание/тег
5|Квест-Школа Волшебников в Хогвартсе|Новосибирск|Музей Гарри Поттера - Хогвартс Холл|26 июл. 2026 г., 07:00|от 990 ₽|описание/тег
6|Квест-Школа Волшебников в Хогвартсе|Новосибирск|Музей Гарри Поттера - Хогвартс Холл|5 июл. 2026 г., 07:00|от 990 ₽|описание/тег
7|Квест-Школа Волшебников в Хогвартсе|Новосибирск|Музей Гарри Поттера - Хогвартс Холл|12 июл. 2026 г., 07:00|от 990 ₽|описание/тег
8|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
9|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
10|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
11|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
12|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
13|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
14|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
15|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
16|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
17|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
18|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
19|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
20|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
21|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
22|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
23|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
24|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
25|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
26|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
